,text,level,polarity,sentiment
1063,employe knee is infect while repair broken sewag pi,Nonfatal,-0.4,Positive
1067,employe is spray with hot liquid and is burn,Nonfatal,0.25,Positive
1071,employe die from unknown caus dure refineri partial tu,Fatal,-0.1,Negative
1100,employe clean egg shoot has two finger amput,Nonfatal,0.3666666666666667,Positive
1108,employe fall backward down stair and later die,Fatal,-0.07777777777777779,Negative
1110,worker clear machin jam has two fingertip amput,Nonfatal,0.10000000000000002,Positive
1133,employe receiv burn while tri to light burner on fire,Nonfatal,0.4,Positive
1134,worker clear jam in roller conveyor sustain arm injuri,Nonfatal,0.10000000000000002,Positive
1136,employe amput arm clean dough chunker machin,Nonfatal,0.3666666666666667,Positive
1160,worker clean machin has thumb and three finger amput,Nonfatal,0.3666666666666667,Positive
1177,employe direct flat bed truck is struck and kill,Fatal,0.037500000000000006,Negative
1182,employe amput finger while clean an energ fryer,Nonfatal,0.3666666666666667,Positive
1205,employe amput finger when clear jam from die machin,Nonfatal,0.10000000000000002,Positive
1216,employe finger is amput dure die machin clean,Nonfatal,0.3666666666666667,Positive
1243,employe thumb is amput while clear  jam in machin,Nonfatal,0.10000000000000002,Positive
1250,employe sustain broken leg in trench collaps,Nonfatal,-0.4,Positive
1260,employe is burn by hot grease.,Nonfatal,0.25,Positive
1262,three employe repair down power line are shock,Nonfatal,-0.15555555555555559,Positive
1263,employe finger are amput while clear debri from ,Nonfatal,0.10000000000000002,Positive
1298,employe is injur when struck in the head by fall dead ,Nonfatal,-0.2,Positive
1335,employe die while perform clean oper,Fatal,0.3666666666666667,Negative
1350,employe suffer sever bodi damag due to air pressur rele,Nonfatal,-0.125,Positive
1353,employe is run over by forklift and die later from a bold ,Fatal,0.16666666666666666,Negative
1374,employe suffer a respiratori ill dure chemic relea,Nonfatal,-0.5,Positive
1396,employe is burn by hot water while oper potato peel,Nonfatal,0.25,Positive
1398,employe fall ill while take lunch break,Nonfatal,-0.5,Positive
1399,employe slip on wet surfac and suffer broken hip,Nonfatal,-0.25,Positive
1401,employe partial amput finger and cut sever other f,Nonfatal,-0.1125,Positive
1407,employe injur hand while clear product jam from nip po,Nonfatal,0.10000000000000002,Positive
1422,"employe hand contact static plate, and amput finger",Nonfatal,0.5,Positive
1429,employe is caught between bucket truck basket and light pol,Nonfatal,0.4,Positive
1436,employe suffer burn from hot pipe while recov metal,Nonfatal,0.25,Positive
1437,employe is run over by forklift and suffer broken leg and ,Nonfatal,-0.4,Positive
1449,employe receiv chemic burn from unknown substanc,Nonfatal,-0.1,Positive
1456,employe partial amput finger on chees cutter,Nonfatal,-0.1,Positive
1459,employe partial amput thumb on meat saw,Nonfatal,-0.1,Positive
1464,employe partial amput thumb on meat band saw,Nonfatal,-0.1,Positive
1472,employe fall from scaffold with multipl injuri and late,Fatal,-0.3,Negative
1482,employe contact band saw blade and sustain partial amputa,Nonfatal,-0.1,Positive
1484,employe finger is struck and partial amput by weldi,Nonfatal,-0.1,Positive
1485,employe fall down stair near aircraft door and suffer mu,Nonfatal,-0.02777777777777779,Positive
1486,employe leg are struck and burn by hot hydraul fluid,Nonfatal,0.125,Positive
1490,employe sustain burn to hand from unknown sourc,Nonfatal,-0.1,Positive
1492,employe finger is struck and partial amput by falli,Nonfatal,-0.1,Positive
1493,employe break left ankl when granit counter top falls.,Nonfatal,0.25,Positive
1498,employe faint and strike head on floor,Nonfatal,-0.5,Positive
1511,employe partial amput finger in unguard chain and s,Nonfatal,-0.1,Positive
1515,employe trip and fall and suffer serious eye bleed in,Nonfatal,-0.3333333333333333,Positive
1528,employe fingertip are amput when clear jam from e,Nonfatal,0.10000000000000002,Positive
1530,employe is burn when hot soup bag ruptur,Nonfatal,0.25,Positive
1570,employe amput finger while clean energ roller,Nonfatal,0.3666666666666667,Positive
1576,employe fall from an aerial lift and was killed.,Fatal,-0.2,Negative
1580,employe injur hand while clean fish fillet machin,Nonfatal,0.3666666666666667,Positive
1589,employe is caught in press brake and receiv partial amput,Nonfatal,-0.1,Positive
1593,employe amput partial finger amput when caught in ,Nonfatal,-0.1,Positive
1603,employe sleev is caught in chicken processor and fractur,Nonfatal,-0.6,Positive
1622,"object fall on employe finger, sustain partial amputa",Nonfatal,-0.1,Positive
1633,employe is found dead of unknown caus on oil tank,Fatal,-0.15000000000000002,Negative
1638,employe injur arm while clean manufactur equip,Nonfatal,0.3666666666666667,Positive
1639,employe cut off tip of right thumb while oper a band ,Nonfatal,0.2857142857142857,Positive
1657,the employe is struck by fall tree and is killed.,Fatal,-0.2,Negative
1660,employe expos to asbesto while clean up storm damag,Nonfatal,0.3666666666666667,Positive
1661,employe is struck by fall tree branch and is killed.,Fatal,-0.2,Negative
1664,employe arm is caught in machin and is broken,Nonfatal,-0.4,Positive
1665,employe arm is caught in machin and is broken,Nonfatal,-0.4,Positive
1678,employe drown for some unknown reason,Fatal,-0.1,Negative
1698,employe #1 thumb partial amput in wood cut mach,Nonfatal,-0.1,Positive
1700,employe tip of right ring finger is amput by conveyor,Nonfatal,0.2857142857142857,Positive
1710,employe amput toe while oper a high pressur water,Nonfatal,0.16,Positive
1713,employe amput right middl finger tip on a time belt,Nonfatal,0.2857142857142857,Positive
1718,employe fall from elev and break his right lower leg,Nonfatal,0.2857142857142857,Positive
1724,employe fall down elev shaft and sustain multipl fra,Nonfatal,-0.15555555555555559,Positive
1731,employe right foot is run over by a standup forklift and ,Nonfatal,0.2857142857142857,Positive
1733,employe is kill while clean tank that contain alkyl k,Fatal,0.3666666666666667,Negative
1735,employe finger is caught in dough machin and is broken,Nonfatal,-0.4,Positive
1736,employe fall into tank of hot water and is sever burn,Nonfatal,0.25,Positive
1737,three employe are burn when pour molten stainless ste,Nonfatal,0.2,Positive
1742,employe hand is lacer by auger while clean machin,Nonfatal,0.3666666666666667,Positive
1752,employe fail to lockout equip and amput finger,Nonfatal,-0.5,Positive
1764,employe fall from green hous roof and is injur,Nonfatal,-0.2,Positive
1779,employe is kill in fall from first floor,Fatal,0.25,Negative
1780,employe is kill in fall while window clean,Fatal,0.3666666666666667,Negative
1783,employe faint and fractur ankl,Nonfatal,-0.5,Positive
1804,employe is kill in fall when scaffold fail,Fatal,-0.5,Negative
1806,employe is scald by hot soup,Nonfatal,0.25,Positive
1824,employe injur ankl while free up jam conveyor,Nonfatal,0.4,Positive
1828,employe fingertip are amput clean dough sheeter m,Nonfatal,0.3666666666666667,Positive
1859,employe is hospit after suffer cardiac arrest,Nonfatal,-0.05,Positive
1865,employe partial amput finger while posit wood s,Nonfatal,-0.1,Positive
1867,employe fall from flat bed truck and fractur ankl,Nonfatal,-0.025,Positive
1879,employe slip on wet paint and injur head,Nonfatal,-0.1,Positive
1886,employe is kill when struck by metal from explod elect,Fatal,0.8,Negative
1893,employe fractur sever finger while clear snowblow,Nonfatal,0.10000000000000002,Positive
1895,employe struck by excav bucket is killed.,Fatal,-0.2,Negative
1903,employe receiv electr burn while remov light stra,Nonfatal,0.4,Positive
1923,employe fall down stair and is burn from spill hot oi,Nonfatal,0.04722222222222221,Positive
1928,employee? fingertip is amput dure print press main,Nonfatal,0.16666666666666666,Positive
1942,employe thumb is near shear off by hing devic bein,Nonfatal,0.1,Positive
1948,employe is run over by dozer and killed.,Fatal,-0.2,Negative
1951,employe suffer broken leg when run over by forklift,Nonfatal,-0.4,Positive
1955,employe suffer burn while clear line blockag,Nonfatal,0.10000000000000002,Positive
1957,employe is struck by car in work zone and killed.,Fatal,-0.2,Negative
1963,employe is spray by hot water from a hot water set and su,Nonfatal,0.25,Positive
1982,partial amput to right foot while unclog a snow blo,Nonfatal,0.09285714285714285,Positive
1999,"employe is run over by forklift, partial amput his f",Nonfatal,-0.1,Positive
2015,employe near power line is shock and burn by electr a,Nonfatal,0.1,Positive
2018,"worker fall from ladder, incur rib fractur and other inj",Nonfatal,-0.125,Positive
2024,employe sustain broken foot when pin between two fork,Nonfatal,-0.4,Positive
2030,employe injur finger while clean a wood chipper,Nonfatal,0.3666666666666667,Positive
2033,employe sustain broken rib and intern bleed from fal,Nonfatal,-0.4,Positive
2054,employe fall and receiv fractur skull and other injuri,Nonfatal,-0.125,Positive
2055,employe fall and receiv fractur skull and other injuri,Nonfatal,-0.125,Positive
2059,employe is caught in floor sweeper and sustain partial fin,Nonfatal,-0.1,Positive
2061,"employe on ladder instal fixtur is shocked, falls, and",Nonfatal,-0.7,Positive
2064,employe is struck by forklift and sustain broken leg,Nonfatal,-0.4,Positive
2065,employe partial amput thumb with chop saw,Nonfatal,-0.1,Positive
2078,construct foreman direct rig has two finger amputa,Nonfatal,0.1,Positive
2099,employe is caught in machin and receiv a partial finger ,Nonfatal,-0.1,Positive
2102,employe is splash by hot water and is burn,Nonfatal,0.25,Positive
2103,employe catch finger in press and receiv partial finger,Nonfatal,-0.1,Positive
2115,employe fall down stair and tear tendon in leg,Nonfatal,-0.15555555555555559,Positive
2117,employe is cut by saw and receiv partial finger amputatio,Nonfatal,-0.1,Positive
2118,employe die while clean insid of barrel frack tank,Fatal,0.3666666666666667,Negative
2159,employe amput hand while clean dice machin,Nonfatal,0.3666666666666667,Positive
2160,"employe fall from ladder injur right eye, left wrist an",Nonfatal,0.14285714285714285,Positive
2163,worker oper meat slicer incur partial finger amputatio,Nonfatal,-0.1,Positive
2173,employe fall from a floor joist and receiv minor injuri,Nonfatal,-0.05,Positive
2201,employe attempt to clear jam amput finger,Nonfatal,0.10000000000000002,Positive
2205,employe is struck and kill by a fall tree top,Fatal,0.5,Negative
2217,employe clean machin has finger amput,Nonfatal,0.3666666666666667,Positive
2219,employe clean spill chemic is asphyxi by toxic ,Nonfatal,0.3666666666666667,Positive
2245,employe right hand is crush in power press,Nonfatal,0.2857142857142857,Positive
2255,employe fall from roll stair tower when light head (e,Nonfatal,0.4,Positive
2258,employe partial amput finger with meat saw,Nonfatal,-0.1,Positive
2278,employe fingertip is amput while clean run mac,Nonfatal,0.3666666666666667,Positive
2289,employe is burn by hot water spill,Nonfatal,0.25,Positive
2296,employe entangl within rotat scrapper and is killed.,Fatal,-0.2,Negative
2303,employe pinch finger then faint strike his head result,Nonfatal,-0.5,Positive
2306,employe receiv concuss fall down stair,Nonfatal,-0.15555555555555559,Positive
2311,employe is burn when spray with hot liquid,Nonfatal,0.25,Positive
2315,employe crush by granit slab and is killed.,Fatal,-0.2,Negative
2319,two employe hospit after be spray by caustic bl,Nonfatal,-0.4,Positive
2352,two employe lose conscious from carbon monoxid poison,Fatal,0.1,Negative
2359,employe insid work truck is found dead,Fatal,-0.2,Negative
2370,employe is caught in a splicer and receiv partial amputat,Nonfatal,-0.1,Positive
2379,employe fall through skylight and is killed.,Fatal,-0.2,Negative
2387,employe is kill when overcom by clean chemic vapor,Fatal,0.3666666666666667,Negative
2389,employe is struck and kill by car while direct traffic,Fatal,0.1,Negative
2390,employe kill when run over by a rough terrain forklift,Fatal,-0.1,Negative
2451,an employe collaps and die from unknown caus,Fatal,-0.1,Negative
2517,employe is killed; anoth injur when struck by fall c,Fatal,-0.2,Negative
2522,employe amput fingertip while clear jam from tape ma,Nonfatal,0.10000000000000002,Positive
2526,employe is pin as tree trunk slide down slope,Fatal,-0.15555555555555559,Negative
2556,employe found dead in truck from unknown caus,Fatal,-0.15000000000000002,Negative
2588,employe is struck and kill by flat bed trailer,Nonfatal,-0.025,Positive
2629,employe work at a hospit feel sick and die the next,Fatal,-0.35714285714285715,Negative
2642,employe fall down a wastewat well and is killed.,Fatal,-0.1777777777777778,Negative
2648,employe drown while clean underneath a boat,Fatal,0.3666666666666667,Negative
2649,employe contact a live bus bar and was electrocuted.,Fatal,0.13636363636363635,Negative
2663,employe die from cardiac arrest,Fatal,-0.05,Negative
2666,employe is kill when trampl by a cow,Fatal,-0.13333333333333333,Negative
2669,employe found dead in a front end loader,Fatal,-0.2,Negative
2676,employe is found dead on floor of scissor lift,Fatal,-0.2,Negative
2683,employe is kill in fall from a roof top through a skyligh,Fatal,0.5,Negative
2691,"employe is electrocuted, two other receiv electr shock ",Fatal,-0.125,Negative
2696,employe die of unknown caus in a hotel room.,Fatal,-0.1,Negative
2707,employe die of unknown caus at work.,Fatal,-0.1,Negative
2715,employe is found dead and buri by fill dirt at residentia,Fatal,-0.2,Negative
2720,employe fall from top of walk-in cooler and is kill,Fatal,0.5,Negative
2730,employe spill caustic liquid and burn leg,Nonfatal,-0.4,Positive
2742,employe is electrocut by contact with live bus bar.,Fatal,0.13636363636363635,Negative
2747,employe is struck and kill by drunk driver on work site,Fatal,-0.5,Negative
2761,"one employe is killed, anoth injured, in trench collaps",Fatal,-0.2,Negative
2780,employe is electrocut and kill by fluoresc light fix,Fatal,0.4,Negative
2796,employe fall in attic and die from broken neck,Fatal,-0.4,Negative
2816,employe is trap under bundl and kill due to suffocat,Fatal,-0.125,Negative
2834,employe finger is crush and sustain partial amput,Nonfatal,-0.1,Positive
2847,employe fall from top of truck cab and is kill,Fatal,0.5,Negative
2848,employe is struck and kill by a rough terrain forklift,Fatal,-0.1,Negative
2858,employe die of heart attack while torch down roof,Fatal,-0.15555555555555559,Negative
2859,employe fall through the roof of a cow barn and is kill,Fatal,-0.13333333333333333,Negative
2878,"employe found dead, non-work relat",Fatal,-0.2,Negative
2880,employe right thumb is amput while oper a fixtur ,Nonfatal,0.2857142857142857,Positive
2886,employe fall through skylight and is killed.,Fatal,-0.2,Negative
2889,employe fall of the boat into cold water and kill,Fatal,-0.6,Negative
2899,employe clean pool shock and drown,Fatal,0.3666666666666667,Negative
2901,"employe left index finger (partially) amputated, after ri",Nonfatal,-0.05,Positive
2910,employe is struck by spin sucker rod and is killed.,Fatal,-0.25,Negative
2912,employe die of heart attack on hot day.,Fatal,0.25,Negative
2922,employe fall down shaft and is kill,Fatal,-0.15555555555555559,Negative
2938,employe die from cardiac arrest,Fatal,-0.05,Negative
2946,employe is shock by live wire later die,Fatal,0.06818181818181818,Negative
2947,employe is cut by meat saw and partial amput thumb,Nonfatal,-0.1,Positive
2949,"employe fail hose, collaps and break lower leg and a",Nonfatal,-0.5,Positive
2959,employe found dead use a cherri picker,Fatal,-0.2,Negative
2961,employe fall down stair and is fatal injur,Fatal,-0.15555555555555559,Negative
3000,employe die from heat relat ill,Fatal,-0.5,Negative
3001,employe die sudden while clean bar area,Fatal,0.18333333333333335,Negative
3005,employe is kill in fall from top of water tower,Fatal,0.5,Negative
3009,employe is electrocut while instal new air conditioni,Fatal,0.13636363636363635,Negative
3010,employe is electrocut while clear bridg roadway,Fatal,0.10000000000000002,Negative
3018,employe is killed; second employe injur in motorcycl ac,Fatal,-0.1,Negative
3025,employe lose conscious and drown in manur pit,Fatal,0.1,Negative
3030,employe is electrocut while remov ballast from a live ,Fatal,0.13636363636363635,Negative
3045,employe fall down elev shaft and is kill,Fatal,-0.15555555555555559,Negative
3071,employe becom ill and die,Fatal,-0.5,Negative
3072,employe contact an overhead distribut line and is elect,Fatal,0.8,Negative
3086,employe die from cardiac arrest while work in vineyard,Fatal,-0.05,Negative
3087,"one employe is crush and killed, anoth injured, when wa",Fatal,-0.2,Negative
3113,employe is caught between two truck and is killed.,Fatal,-0.2,Negative
3118,"one employe is killed, one injured, in trench collaps",Fatal,-0.2,Negative
3156,employe is found dead,Fatal,-0.2,Negative
3162,employe repair a light fixtur is kill,Fatal,0.4,Negative
3164,employe die from cardiac arrest,Fatal,-0.05,Negative
3178,employe die due to heart attack,Fatal,-0.125,Negative
3180,employe strike a tree and is killed.,Fatal,-0.2,Negative
3192,employe make direct contact with energ part and is ki,Fatal,0.1,Negative
3194,employe is found dead after sustain heart attack,Fatal,-0.2,Negative
3195,employe make direct contact with energ conductor and i,Fatal,0.1,Negative
3196,employe goe into cardiac arrest and die after be stung,Fatal,-0.05,Negative
3205,employe make direct contact with energ conductor and i,Fatal,0.1,Negative
3210,employe is kill from direct contact with energ part,Fatal,0.1,Negative
3221,farm labor die of cardiac arrest.,Fatal,-0.05,Negative
3226,truck driver for energi explor firm is kill when truc,Fatal,-0.2,Negative
3230,worker die of unknown caus,Fatal,-0.1,Negative
3251,employe fall from elev and is killed.,Fatal,-0.2,Negative
3252,employe fall from elev and is killed.,Fatal,-0.2,Negative
3253,employe expos to high heat while work on roof later di,Fatal,0.08,Negative
3254,employe electrocut while servic taxiway edg light and,Fatal,0.4,Negative
3255,two employe fall when an articul boom fail and are ,Fatal,-0.5,Negative
3256,employe fell while climb stair and was killed.,Fatal,-0.2,Negative
3259,employe crush by die cut machin and is killed.,Fatal,-0.2,Negative
3266,"employe contact high voltag power line, is electrocuted, ",Fatal,0.16,Negative
3267,employe fall from height and is killed.,Fatal,-0.2,Negative
3272,employe fall when a hydraul lift fail and is killed.,Fatal,-0.35,Negative
3274,employe is struck by log and is killed.,Fatal,-0.2,Negative
3277,employe clean car is crush between two vehicl and i,Fatal,0.3666666666666667,Negative
3279,employe is struck by track hoe bucket and is killed.,Fatal,-0.2,Negative
3280,employe fall from ladder and is killed.,Fatal,-0.2,Negative
3281,employe collaps and is kill when clear debri from r,Fatal,0.10000000000000002,Negative
3283,employe is crush in a mold machin and is killed.,Fatal,-0.2,Negative
3284,employe is kill from a cardiac arrest.,Fatal,-0.05,Negative
3287,employe make contact with a live wire and is kill,Fatal,0.13636363636363635,Negative
3295,employe collaps and die from unknown causes.,Fatal,-0.1,Negative
3296,employe fall from ladder and is killed.,Fatal,-0.2,Negative
3298,firefight hike with full ppe and tool suffer heat exha,Nonfatal,0.35,Positive
3304,employe fall from scaffold and is killed.,Fatal,-0.2,Negative
3311,employe is electrocut by high voltag power line,Fatal,0.16,Negative
3319,"one employe is killed, anoth injur when atv lose contr",Fatal,-0.2,Negative
3320,employe is kill when larg cool fan fall on him while,Fatal,0.35,Negative
3333,employe caught in trench collaps and is killed.,Fatal,-0.2,Negative
3357,employe is kill in fall from hot air balloon.,Fatal,0.25,Negative
3359,employe is found dead of unknown caus at home.,Fatal,-0.15000000000000002,Negative
3379,one employe drown and two other treat at hospit,Fatal,-0.125,Negative
3400,employe fall from roof and is killed.,Fatal,-0.2,Negative
3417,employe is found dead in a chair,Fatal,-0.2,Negative
3438,employe is electrocut after contact un-insul elect,Fatal,0.8,Negative
3443,employe is kill in fire due to flammabl vapor from crud,Fatal,-0.125,Negative
3453,employe fall down stair and is kill by injuri to head,Fatal,-0.15555555555555559,Negative
3457,worker take down cellular tower is electrocut when boom ,Fatal,-0.15555555555555559,Negative
3464,employe fall from cell tower and is killed.,Fatal,-0.2,Negative
3501,employe is electrocut when a tree limb contact a high vo,Fatal,0.16,Negative
3502,employe fall through roof and is killed.,Fatal,-0.2,Negative
3513,employe fall through roof ridg cap and is killed.,Fatal,-0.2,Negative
3524,employe fall 30 feet from window ledg and is killed.,Fatal,-0.2,Negative
3526,employe found dead due atherosclerot cardiovascular disea,Fatal,-0.1625,Negative
3558,employe found dead on floor of restroom,Fatal,-0.2,Negative
3560,employe found dead on floor,Fatal,-0.2,Negative
3563,worker die from cardiac arrest,Fatal,-0.05,Negative
3568,employe die from a heart attack due to congest heart fa,Fatal,-0.125,Negative
3610,employe kill from direct contact with energ conductor,Fatal,0.1,Negative
3613,"one employe killed, anoth injur by precast concret pan",Fatal,-0.2,Negative
