,text,Degree of Injury
126,employe sustain multipl injuri in fall from second floo,Nonfatal
127,employe sustain cut to his leg while perform demolitio,Nonfatal
128,a homeless person was found dead under a collaps street ca,Fatal
129,employe fall from extens ladder and fractur back,Nonfatal
130,"employe fall and is discov on the ground, later die",Fatal
131,employe kill from chemic overexposur,Fatal
132,"employe pass out, fall to floor, strike head on furnit",Fatal
133,employe caught in between a vehicl and tire and is kill,Fatal
134,employe is crush by tree and is kill,Fatal
135,employe fall from extens ladder and fractur foot,Nonfatal
136,employe amput finger from contact with rotat saw bl,Nonfatal
137,employe is struck by log and is kill,Fatal
138,employe sustain fractur rib and back in scissor lift ro,Nonfatal
139,employe fall from ladder,Nonfatal
140,"employe fall off ladder, suffer head injuri and is kill",Fatal
141,employe receiv electr shock from energ wire,Nonfatal
142,employe leg is fractur when struck by fall sheetrock,Nonfatal
143,employe is assault by inmat and is kill,Fatal
144,employe on atv s struck by a motor vehicl and later die,Fatal
145,employe sustain multipl fractur after fall through a,Nonfatal
146,"employe is struck by fan shaft, falls, and sustain fractur",Nonfatal
147,employe is struck by wheel loader and kill,Fatal
148,employe fell from roof and is kill,Fatal
149,employe fall from roof and is kill,Fatal
150,"employe fall down elev shaft, sustain fractur to ",Nonfatal
151,employe sustain shoulder injuri in dump truck rollov,Nonfatal
152,employe is crush by hot tub mold and kill,Fatal
153,employe work in warehous collaps and could not be rev,Fatal
154,employe fall strike head on floor and is kill,Fatal
155,employe is injur when nail gun misfir,Nonfatal
156,employe crush heel and ankl in fall from ladder,Nonfatal
157,employe is struck and kill by a tree,Fatal
158,employe lacer hand and amput index finger with radi,Nonfatal
159,employe slip off ladder and fractur leg,Nonfatal
160,employe catch finger in press ram and is crush,Nonfatal
161,employe is burn by acid releas dure tank clean,Nonfatal
162,employe catch finger in shear machin and amput,Nonfatal
163,employe fall from ladder and sustain fractur rib,Nonfatal
164,employe catch finger in press brake and amput,Nonfatal
165,employe contact power sourc and is electrocut,Fatal
166,employe amput thumb in a rotat fan belt,Nonfatal
167,employe fall from ladder and fractur leg,Nonfatal
168,employe contact power line and is electrocut,Fatal
169,employe amput fingertip while clean gear,Nonfatal
170,employe catch finger in press and amput thumb tip,Nonfatal
171,employe is crush by impactor and kill,Fatal
172,employe fall from ladder and sustain multipl fractur,Nonfatal
173,employe  contact tabl saw blade and amput finger tip,Nonfatal
174,employe catch hand on wood spindle; fractur knuckl and,Nonfatal
175,employe fall  from truck after explos while fuel and,Fatal
176,employe is kill when aerial lift over turn,Fatal
177,employe pinch and crush finger in rotat drive shaft,Nonfatal
178,employe is hospit for heat exhaust,Nonfatal
179,employe sustain fractur leg in trench collaps,Nonfatal
180,employe catch finger on machin feeder and amput ind,Nonfatal
181,employe catch hand in chain sprocket and crush four fin,Nonfatal
182,employe hand is crush when move equip,Nonfatal
183,employe fractur rib when electr switch gear fall on,Nonfatal
184,employe catch finger in time belt and fractur it,Nonfatal
185,employe is caught underneath sprayer and injur ankl,Nonfatal
186,employe catch finger in press brake and amput fingert,Nonfatal
187,employe suffer amput of index and middl finger of t,Nonfatal
188,employe is struck by a fall tabl and fractur leg,Nonfatal
189,employe is shock and kill,Fatal
190,employe is troubleshoot equip and amput five fin,Nonfatal
191,employe reach over chainsaw and suffer a wrist laceratio,Nonfatal
192,employe hand is fractur when caught between forklift an,Nonfatal
193,employe crush finger between two tabl and amput pin,Nonfatal
194,employe is struck by a fall beam and suffer multipl in,Nonfatal
195,employe fall from elev and is kill,Fatal
196,employe collaps at work and later die,Fatal
197,employe fall from ladder and is kill,Fatal
198,employe accident trigger chop saw blade and amput ,Nonfatal
199,employe is hospit while suffer an allerg reactio,Nonfatal
200,employe is cut by band saw blade and amput middl and i,Nonfatal
201,"one employe killed, one injur when their utv was struck b",Fatal
202,employe suffer multipl fractur when semi trailer overtu,Nonfatal
203,employe finger tip is amput when drill shaft move,Nonfatal
204,employe fall from ladder and is hospit,Nonfatal
205,employe is crush when crane tip over and is kill,Fatal
206,employe fractur pelvi in 15 foot fall off scaffold,Nonfatal
207,employe amput bodi part while clear jam from slitter,Nonfatal
208,employe finger is crush and amput,Nonfatal
209,"two employe fall from mobil ladder stand, and one is kill",Fatal
210,employe fall 12 feet from scaffold,Nonfatal
211,employe is injur when struck in head by tie down strap,Nonfatal
212,two employe suffer burn dure overspil of hot oil and t,Nonfatal
213,employe catch finger in conveyor belt and amput fing,Nonfatal
214,employe fall from roof and is kill,Fatal
215,employe crush finger with shield and amput fingertip,Nonfatal
216,employe is splash with clean solvent and receiv chem,Nonfatal
217,employe is splash with hot liquid and receiv first and ,Nonfatal
218,employe fall from car carrier and sustain sever fractur,Nonfatal
219,employe injur ankl dure open,Nonfatal
220,employe is scalp when his hair becom caught in spray no,Nonfatal
221,"employe slip on counter weight of platform riser, bruis",Nonfatal
222,employe fall from top of grain silo and is kill,Fatal
223,employe amput fingertip while cut silicon tube,Nonfatal
224,two employe are injur while troubleshoot function of ,Nonfatal
225,employe fingertip is amput while clear a jam,Nonfatal
226,employe amput two finger while oper tabl saw,Nonfatal
227,employe fall from overturn man basket and is injur,Nonfatal
228,employe crush and amput finger,Nonfatal
229,employe foot is run over by forklift and fractur pinki ,Nonfatal
230,employe is injur dure oper of power industri t,Nonfatal
231,two employe are injur when a man-mad scissor lift trail,Nonfatal
232,elev truck fall and amput employe finger,Nonfatal
233,employe strike head in fall and is hospit,Nonfatal
234,employe fall through skylight and is kill,Fatal
235,employe is thrown from aerial lift bucket and is kill,Fatal
236,employe sustain chemic burn dure power wash,Nonfatal
237,employe injur foot while oper golf cart,Nonfatal
238,employe fall from ladder and injuri his head and leg,Nonfatal
239,employe is crush by fall build panel and is kill,Fatal
240,employe is struck in head by log equip and is injur,Nonfatal
241,employe thumb is amput dure repair of press,Nonfatal
242,employe eye is struck by hose and sustain sever lacerat,Nonfatal
243,employe finger is amput dure use of meat band saw,Nonfatal
244,"employe is injur when struck by fall wall, later die ",Fatal
245,employe touch overhead electr line and is electrocut,Fatal
246,employe finger tip is amput dure remov of jam ,Nonfatal
247,"employe glove hand is pull into panel saw machine, amp",Nonfatal
248,employe amput thumb dure mainten of conveyor,Nonfatal
249,employe slip dure unload of a rail car and amput ,Nonfatal
250,employe amput finger when crush between a machin p,Nonfatal
251,employe hand contact bone-in saw blade and amput fin,Nonfatal
252,employe forearm is broken dure mill oper,Nonfatal
253,employe hand contact drill bit of mill and amput tip,Nonfatal
254,employe is pull against spool and is kill,Fatal
255,employe is injur by fall a steel platform,Nonfatal
256,employe is burn by hot water dure tank transfer,Nonfatal
257,employe smash and amput finger,Nonfatal
258,employe amput two finger while oper mechan po,Nonfatal
259,employe struck by crane and is kill,Fatal
260,firefight fall from a height of 5 stori and is kill,Fatal
261,employe amput fingertip dure reloc of glaze tank,Nonfatal
262,employe is thrown from forklift and sustain concuss,Nonfatal
263,employe fall 8 feet from abov a guard elev shaft  a,Fatal
264,employe fractur finger in pecan crush machin,Nonfatal
265,employe hand is deglov dure mainten,Nonfatal
266,"employe hand is caught in drill press, and amput fing",Nonfatal
267,employe fall from basket and is injur,Nonfatal
268,employe fingertip is amput in roller,Nonfatal
269,employe fall from roof and is kill,Fatal
270,employe hand is fractur dure sanit of conveyor.,Nonfatal
271,employe crush hand dure remov of jam pallet,Nonfatal
272,employe amput finger when free extractor from inject,Nonfatal
273,employe is kill when all terrain vehicl overturn,Fatal
274,employe pinki finger is amput when trailer collaps ,Nonfatal
275,employe is attack by bull and fractur pelvi,Nonfatal
276,employe right pinki and index finger are amput durin,Nonfatal
277,employe fall of pick up truck and is kill,Fatal
278,employe is struck by tanker storag lid dure explos an,Fatal
279,employe finger are injur when entangl in a fertil,Nonfatal
280,employe is pin by forklift and sustain fractur rib a,Nonfatal
281,four employe injur while ride in a util terrain veh,Nonfatal
282,employe hand contact saw blade and amput finger,Nonfatal
283,employe is electrocut when crane contact overhead power ,Fatal
284,employe sustain amput of two finger by unguard exh,Nonfatal
285,employe fall from truck and is kill,Fatal
286,employe finger are cut while clear a jam on a tabl s,Nonfatal
287,employe fall from boom oper seat while unload log,Nonfatal
288,employe arm is broken by explos while cut with an ,Nonfatal
289,employe is run over by pickup truck and is kill,Fatal
290,employe injur hand dure servic of packag machin,Nonfatal
291,employe sustain head injuri while unload semi-trail,Nonfatal
292,employe fall and strike head on pavement; later die,Fatal
293,employe is burn in electr arc furnac explos,Nonfatal
294,employe thumb is amput when caught in machin,Nonfatal
295,employe is pin between aerial lift basket and roof and i,Fatal
296,employe finger are caught between a forklift and guard r,Nonfatal
297,employe fall from roof and sustain head injuri,Nonfatal
298,employe finger is amput when caught in conveyor belt/,Nonfatal
299,employe finger is amput while clean a quill puller,Nonfatal
300,employe finger are amput by fall coil of aluminum,Nonfatal
301,employe is burn by hot oil from deep fryer,Nonfatal
302,employe finger are amput while clean chute of law,Nonfatal
303,employe is burn while troubl shoot vapor tank equ,Nonfatal
304,employe finger is amput while work with a punch pr,Nonfatal
305,employe becom trap in tunnel kiln and is kill from e,Fatal
306,"employe trips, strike loader fork, and lose eye",Nonfatal
307,employe arm is caught between equip and sustain lace,Nonfatal
308,employe trim tree branch from power line is electrocu,Fatal
309,employe rib are fractur while scale log at sawmil,Nonfatal
310,employe fall from dock and sustain a concuss,Nonfatal
311,employe is struck by person vehicl and is kill,Fatal
312,employe finger is partial amput when stack lumb,Nonfatal
313,employe fall from scissor lift and incur multipl fractur,Nonfatal
314,employe 's finger is amput while handl drill rod,Nonfatal
315,employe arm and shoulder crush by extrus machin,Nonfatal
316,employe is struck by semi-truck and is kill,Fatal
317,employe finger and arm are injur when caught between e,Nonfatal
318,employe is caught in a trench cave-in and is kill,Fatal
319,employe suffer heart attack and die at work site,Fatal
320,employe fall through floor hole and incur multipl injuri,Nonfatal
321,employe fall while trim tree and is kill,Fatal
322,employe finger is amput when caught in machin dure,Nonfatal
323,employe finger and arm are fractur when clean insid,Nonfatal
324,employe hand is lacer and broken when clean insid,Nonfatal
325,employe leg is lacer when caught between a standup ve,Nonfatal
326,employe thumb is caught in machin and is amput,Nonfatal
327,employe arm is lacer by abras blast materi,Nonfatal
328,employe cut by chain saw,Nonfatal
329,employe hand and face are burn by an arc flash,Nonfatal
330,employe injur back and torso when struck by car,Nonfatal
331,employe cut jugular vein with chainsaw and is kill,Fatal
332,employe fall from boom and fractur spine,Nonfatal
333,employe disloc wrist when adjust drill rod strap,Nonfatal
334,employe is injur when crate of glass overturn,Nonfatal
335,employe fall from scaffold and incur multipl injuri,Nonfatal
336,employe is run over by garbag truck and is kill,Fatal
337,employe fall from fenc and sustain head and back injuri,Nonfatal
338,employe fall from vehicl and sustain a concuss,Nonfatal
339,employe pinch finger in machin result in a partial am,Nonfatal
340,employe hand is lacer by circular saw,Nonfatal
341,employe fall from roof and incur multipl injuri,Nonfatal
342,employe slip and fall on sweep auger and fractur rib,Nonfatal
343,employe is struck by fall shelf and is injur,Nonfatal
344,employe contact caustic addit and sustain chemic bur,Nonfatal
345,employe is struck by mechan arm and is kill,Fatal
346,employe strike head against overpass and later die,Fatal
347,employe hand contact anvil chuck and two finger are amp,Nonfatal
348,employe fall through unprotect floor hole and incur bru,Nonfatal
349,employe hand is caught in meat tender and is injur,Nonfatal
350,employe slip in stream bed and break knee cap against ban,Nonfatal
351,employe finger is amput by brake press,Nonfatal
352,employe fall from ladder and is injur,Nonfatal
353,employe is run over by dump truck and is kill,Fatal
354,employe left index and middl finger are amput by sa,Nonfatal
355,employe leg are crush dure demolit of concret wa,Nonfatal
356,employe fall from ladder and incur head injuri,Nonfatal
357,two worker are injur when aerial lift tip over,Nonfatal
358,employe is injur when metal rebar punctur leg,Nonfatal
359,employe is pin underneath car and is injur,Nonfatal
360,employe fall from roof into dumpster and fractur hip,Nonfatal
361,employe hand is crush by fall load dock level,Nonfatal
362,employe is struck by a burst pipe plug and is kill,Fatal
363,employe is struck in head by pressure-driven ratchet and is,Nonfatal
364,employe is struck by motor vehicl and is kill,Fatal
365,employe amput finger while unload of armor truck,Nonfatal
366,employe fall from scaffold and is kill,Fatal
367,employe upgrad electr equip incur shock and bur,Nonfatal
368,employe finger is amput when caught in conveyor,Nonfatal
369,employe cut abdomen when saw kick back,Nonfatal
370,employe fall from an unprotect structur edg and is k,Fatal
371,employe dismantl scaffold fall and incur multipl inju,Nonfatal
372,employe fall and is injur,Nonfatal
373,employe suffer heart attack dure compani meet and die,Fatal
374,employe is run over by bull dozer and is kill,Fatal
375,employe use trash box as lift basket fall and is injur,Nonfatal
376,employe fall from elev surfac and is kill,Fatal
377,employe is injur when elev malfunct,Nonfatal
378,employe fall from roof and is kill,Fatal
379,employe is injur while oper forklift,Nonfatal
380,employe handl demolit saw lacer to leg,Nonfatal
381,employe fall from ladder and is injur,Nonfatal
382,employe fall from tree and is kill,Fatal
383,employe amput finger dure motor clean,Nonfatal
384,employe thumb is amput dure use of press brake,Nonfatal
385,employe fall from scaffold and sustain multipl fractur,Nonfatal
386,employe injur hand dure clean of conveyor,Nonfatal
387,employe contact energ cabinet and receiv electr sh,Nonfatal
388,employe fractur arm while clean lath,Nonfatal
389,demolit worker is shock by live wire in build,Nonfatal
390,employe cut hand dure oper of radial arm saw,Nonfatal
391,employe lose balanc and is kill from fall,Fatal
392,employe is caught between baler and baler door and is kill,Fatal
393,employe suffer head injuri in fall from ladder and die tw,Fatal
394,employe amput thumb when use hydraul jack,Nonfatal
395,heavi object fall on employe and fractur his ankl,Nonfatal
396,employe amput finger while drain hopper,Nonfatal
397,employe fall from concret form and incur multipl fractu,Nonfatal
398,employe finger are amput when use a shear,Nonfatal
399,employe amput finger while use bandsaw,Nonfatal
400,"employe slips, strike head, and is injur",Nonfatal
401,excav worker foot is run over and crush by bulldoz,Nonfatal
402,employe sustain fractur to his arm and wrist in rotat,Nonfatal
403,employe is paralyz when struck by fall bin,Nonfatal
404,employe wrist is broken when caught between conveyor belt,Nonfatal
405,employe finger is amput dure equip oper,Nonfatal
406,employe fall from ladder and fractur shin,Nonfatal
407,employe is injur when lawn mower overturn,Nonfatal
408,employe is crush beneath metal rack and is injur,Nonfatal
409,employe amput finger while oper bandsaw,Nonfatal
410,employe finger is crush by fall steel sheet and amputa,Nonfatal
411,employe finger are amput dure oper of press b,Nonfatal
412,plumber fall from ladder and incur ankl fractur,Nonfatal
413,employe is struck by forklift and fractur leg,Nonfatal
414,employe amput finger while oper assembl press,Nonfatal
415,employe fall from scaffold and fractur pelvi and leg,Nonfatal
416,employe fall off roof and is kill,Nonfatal
417,employe fall from roof and is kill,Fatal
418,employe finger are amput when pull into rotat l,Nonfatal
419,employe is struck by overhead power line and is electrocut,Fatal
420,employe is struck by forklift and is injur,Nonfatal
421,employe disassembl crane is struck and is  injur by a ,Nonfatal
422,"employe is struck by stump and crane arm, and is kill",Fatal
423,employe is found unrespons and is kill by electrocutio,Fatal
424,one finger is amput and two other lacer dure oper,Nonfatal
425,employe trap when trench flood and cave in,Nonfatal
426,employe is kill in explos while clean equip,Fatal
427,cabl instal fall from ladder and sustain multipl inju,Nonfatal
428,employe handl electr cabl incur finger amput,Nonfatal
429,employe finger are amput when caught in rotat cha,Nonfatal
430,employe ii kill in explos while clean work area,Fatal
431,employe strike sign with aerial lift and is injur,Nonfatal
432,employe fall from ladder and sustain fractur,Nonfatal
433,employe touch energ electr panel and sustain sho,Nonfatal
434,employe fall from ladder and incur rib and head injuri,Nonfatal
435,electrician repair light fixtur is electrocut,Nonfatal
436,employe fall through skylight and incur multipl injuri,Nonfatal
437,employe sustain second degre burn when propan ignit,Fatal
438,employe is shock when ladder touch power line,Nonfatal
439,employe fall while walk down step and is killed.,Fatal
440,employe is kill when caught underneath fall metal coil,Fatal
441,employe struck by fall tree trunk  and is kill,Fatal
442,employe amput two finger while unload hopper into a,Nonfatal
443,employe fall from ladder and is kill,Fatal
444,employe fractur finger w hen handl truck tire,Nonfatal
445,employe crush finger in pack equip,Nonfatal
446,employe ruptur achill tendon while fight a fire,Nonfatal
447,employe fall and strike head in restroom,Nonfatal
448,employe finger is lacer when caught in unguard mach,Nonfatal
449,worker fall as scaffold tip and incur multipl fractur,Nonfatal
450,employe is kill when caught between semi-truck and shippi,Fatal
451,employe trip on a pallet jack and fractur left wrist,Nonfatal
452,employe is struck by trailer and sustain fractur to right,Nonfatal
453,employe finger is amput by pin disconnect button,Nonfatal
454,employe fall while set up truss and incur multipl,Nonfatal
455,employe fall from ladder and sustain multipl injuri,Nonfatal
456,firefight is kill after sustain fractur and bilatera,Fatal
457,employe struck by pallet jack and sustain leg injuri,Nonfatal
458,employe sustain amput and crush injuri to finger,Nonfatal
459,"employe trip and falls, caus injuri to her knee",Nonfatal
460,employe is kill when caught between bulldoz and storag,Fatal
461,employe fall from stepladd and incur back fractur,Nonfatal
462,employe sustain burn and fractur in 10 foot fall,Nonfatal
463,employe fall 8 feet and break right leg,Nonfatal
464,employe amput fingertip in compon saw,Nonfatal
465,employe is kill when struck and run over by truck,Fatal
466,worker use nail gun is injur when nail strike knee,Nonfatal
467,worker steadi ladder is struck and is injur by fall ,Nonfatal
468,employe is struck by fall tree and is killed.,Fatal
469,employe hand is caught in conveyor move part,Nonfatal
470,employe amput ring finger in spin lath,Nonfatal
471,employe finger is amput by close valv,Nonfatal
472,employe die of heart attack while at work,Fatal
473,"employe trip and falls, fractur her wrist",Nonfatal
474,"employee, struck by fall steel beam and incur fractur",Nonfatal
475,employe finger are amput when caught in nip point,Nonfatal
476,employe thumb is amput when struck against saw blade,Nonfatal
477,employe sustain burn to his foot from molten metal,Nonfatal
478,employe sustain a head injuri when struck by log,Nonfatal
479,employe is burn when struck by hot hair care product fro,Nonfatal
480,employe receiv lacer to left hand when caught in rol,Nonfatal
481,employe fall from residenti deck through floor open a,Fatal
482,employe amput thumb tip on meat slicer,Nonfatal
483,employe step in hot oil and sustain second degre burn o,Nonfatal
484,employe amput 3 finger on wheel saw,Nonfatal
485,employe fractur finger when caught between hand truck and,Nonfatal
486,employe is injur when struck by high-low fork truck,Nonfatal
487,employe sustain a four inch palm lacer when machin c,Nonfatal
488,employe amput fingertip on band saw blade,Nonfatal
489,employe arm is crush and fractur when caught in press,Nonfatal
490,employe fall on concret stair and injur both knee,Nonfatal
491,employe  sustain facial lacer when saw kick back,Nonfatal
492,employe fall off balconi and fractur wrist and leg,Nonfatal
493,employe leg is fractur when struck by bed frame,Nonfatal
494,employe fall off hors and sustain hand fractur,Nonfatal
495,employe is crush and kill by fall structur,Fatal
496,employe finger is fractur when caught in pulley and bel,Nonfatal
497,employe fall from work platform and is kill,Fatal
498,employe is kill when struck and run over by semi-trail,Fatal
499,employe amput toe when struck by tractor tire,Nonfatal
500,employe sustain facial fractur when struck by a fli p,Nonfatal
501,employe is pull under chip pile by conveyor and is kill,Fatal
502,employe is burn when propan tank explod,Nonfatal
503,employe instal culvert fall and fractur leg,Nonfatal
504,employe fall from unguard scaffold and is kill,Fatal
505,employe is crush and kill when struck by fall part,Fatal
506,one employe drown and one injur when boat capsiz,Fatal
507,employe handl concret precast amput finger,Nonfatal
508,employe fractur arm when caught between hold down arm and,Nonfatal
509,employe amput finger tip in press brake,Nonfatal
510,"employe fall from unguard catwalk, fractur skull, oth",Nonfatal
511,one employe kill and three injur when struck by motor v,Fatal
512,employe fall from ladder and injur back,Nonfatal
513,employe fall seven feet and sustain multipl fractur,Nonfatal
514,employe fall from ladder and sustain multipl fractur,Nonfatal
515,employe fall out of bulldoz cabin and is killed.,Fatal
516,employe is kill when struck by forklift,Fatal
517,employe is struck by fall tree limb and is kill,Fatal
518,employe is crush and kill by fall load carri by ov,Fatal
519,employe is kill when struck by fall materi from flat,Fatal
520,employe oper jackhamm fall and fractur vertebra,Nonfatal
521,employe is shot and kill at work by robber,Fatal
522,employe amput finger while move truss web scaffold,Nonfatal
523,"two workers, in separ incidents, fall through floor openi",Nonfatal
524,employe is asphyxi when cloth becom entangl in ro,Fatal
525,employe  fall from vertic ladder and is kill,Fatal
526,employe fall from roof and incur ankl fractur,Nonfatal
527,employe is crush and kill when pin by solid wast co,Fatal
528,employe is pin insid trench by collaps walkway,Nonfatal
529,employe is kill in fall from roof,Fatal
530,employe fall through deck and incur head trauma,Nonfatal
531,employe rig girder is struck and pelvi is fractur,Nonfatal
532,employe is electrocut while hook water pump to sling,Fatal
533,employe finger is amput when caught in a floor end,Nonfatal
534,employe paint a bridg from an aerial lift contact a po,Nonfatal
535,employe fall from roof and incur multipl injuri,Nonfatal
536,worker fall through patio cover hole and is injur,Nonfatal
537,employe collaps and die due to appar medic conditio,Fatal
538,employe right index finger is amput after be caugh,Nonfatal
539,"employe fall to the ground while walking, is impal by a ",Fatal
540,"one worker killed, second injur in block wall collaps",Fatal
541,"one employe is killed, anoth injured, when concret wall ",Fatal
542,crane oper is injur when crane tip over,Nonfatal
543,employe arm and hand are fractur when caught in a slitt,Nonfatal
544,employe is caught between an electr pallet jack and the b,Nonfatal
545,employe finger is amput when caught in machin,Nonfatal
546,employe finger tip is amput by a fall tank,Nonfatal
547,"employe suffer appar heart attack, result in traffic",Fatal
548,employe finger is amput while oper a meat-cuttin,Nonfatal
549,employe finger is partial amput by a rotat airlo,Nonfatal
550,employe is kill from exposur to carbon monoxid,Fatal
551,employe finger is amput by a miter saw,Nonfatal
552,"five employe are killed, one injur when semi-clos rece",Fatal
553,two employe are crush and kill when boiler explodes.,Fatal
554,employe finger is amput by a rotat blade,Nonfatal
555,an employe ankl is fractur when caught between a truck,Nonfatal
556,employe is kill in a trip and fall at work,Fatal
557,employe is struck by a fall couch and sustain a fractur,Nonfatal
558,employe is kill in fall from the balconi,Fatal
559,"an employe is struck by fall beam, fall to floor, and s",Nonfatal
560,employe strike head on cab support post and sustain head ,Nonfatal
561,employe fall from roof of cooler and sustain a broken bac,Nonfatal
562,employe finger is caught between a dolli and trailer and ,Nonfatal
563,employe left index finger tip is amput by a press bra,Nonfatal
564,employe is kill from massiv head trauma,Fatal
565,employe fall from scissor lift and is injur,Nonfatal
